Platform	Instrument	Year	Reads per run	Read length (mode or average)	Bases per run (gigabases)	Source	Remarks
ABI Sanger	3730xl	ND	96	800	0.0000768		
454	GS20	2005	200000	100	0.02		
454	GS FLX	2007	400000	250	0.1		
454	GS FLX Titanium	2009	1000000	500	0.45		
454	GS FLX+	2011	1000000	700	0.7	1	
454	GS Junior	2010	100000	400	0.04	2	
454	GS Junior+	2014	100000	700	0.07	16	
IonTorrent	PGM 314 chip	2011	100000	100	0.01	3	
IonTorrent	PGM 316 chip	2011	1000000	100	0.1	3	
IonTorrent	PGM 318 chip	2011	5000000	100	0.5	3	
IonTorrent	PGM 318 chip	2012	5000000	200	1	3	
IonTorrent	PGM 318 chip V2	2013	5000000	400	2	12	
IonTorrent	Proton PI	2012	50000000	200	10	4	
Illumina	GA (launch?)	2006	28000000	25	0.7		
Illumina	GA	2008	28000000	35	1	5	
Illumina	GA II	ND	100000000	50	5		
Illumina	GAIIx	2009	440000000	75	33	6	
Illumina	GAIIx	2011	640000000	75	48	7	
Illumina	GAIIx	2012	640000000	150	95	8	
Illumina	HiSeq 2000	2010	2000000000	100	200	9	
Illumina	HiSeq 2000	2011	3000000000	100	600	10	
Illumina	HiSeq 2000/2500	2014	4000000000	125	1000	17	
Illumina	HiSeq 2500 RR	2012	600000000	150	180	13	
Illumina	HiSeq X	2014	6000000000	150	1800	18	
Illumina	NextSeq 500	2014	400000000	150	120	14	
Illumina	MiSeq	2011	30000000	150	4.5		
Illumina	MiSeq	2012	30000000	250	8.5	11	
Illumina	MiSeq	2013	30000000	300	15	14	
SOLiD	1	2007	40000000	25	1		
SOLiD	2	2008	115000000	35	4		
SOLiD	3	2009	320000000	50	16		year uncertain
SOLiD	4	2010	2000000000	50	100		year uncertain
SOLiD	5500xl	2011	3000000000	60	180		
SOLiD	5500xl W	2013	3000000000	75	320		
PacBio	RS C1	2011	36000	1300	0.540		12 SMRTCells
PacBio	RS C2	2012	36000	2500	1.080		12 SMRTCells
PacBio	RS C2 XL	2012	36000	4300	1.858		12 SMRTCells
PacBio	RS II C2 XL	2013	47000	4600	2.594	15	12 SMRTCells
PacBio	RS II P5 C3	2014	44000	8500	4.500	15	12 SMRTCells
