instrument	text1	text2	x	y	zoom	img_xybox_x	img_xybox_y	txt_xybox_x	txt_xybox_y	arrow	color	filename
454 GS FLX	454 GS FLX		100	0.02	0.15	42	0	42	-25	0	y	gsflx.png
454 GS Junior	454 GS Junior		700	0.07	0.05	30	0	30	-20	0	g	gsjunior.png
ABI Sanger 3730xl	ABI Sanger	    3730xl	800	0.000077	0.1	30	0	30	-20	0	r	3730xl.png
Illumina GA	Illumina GA		25	0.7	0.1	0	-20	0	-45	0	c	genome_analyzer.png
Illumina HiSeq 2000/2500	Illumina HiSeq	2000/2500	125	1000	0.04	-45	15	-45	-7	0	m	hiseq-2500.png
Illumina HiSeq 2500 RR	Illumina HiSeq 2500 RR		250	300	0.04	20	-11	100	-11	0	y	hiseq-2500.png
Illumina HiSeq 4000	Illumina HiSeq 4000		150	1500	0.04	50	10	119	10	1	k	hiseq-4000.png
Illumina HiSeq X	Illumina HiSeq X		150	1800	0.04	50	40	110	40	1	b	hiseqx.png
Illumina MiniSeq	Illumina	MiniSeq	150	7.5	0.04	-30	-10	-30	-40	1	b	miniseq.png
Illumina MiSeq	Illumina MiSeq		300	15	0.04	25	10	80	10	0	g	miseq.png
Illumina NextSeq 500	Illumina NextSeq 500		150	120	0.04	30	-15	100	-15	1	r	nextseq-500.png
Illumina NovaSeq 6000	Illumina NovaSeq 6000		150	1000	0.04	50	-10	126	-10	1	c	novaseq.png
IonTorrent PGM 	IonTorrent	    PGM	100	0.1	0.07	-30	0	-30	-30	0	m	ion-pgm.png
IonTorrent Proton	IonTorrent	Proton	200	10	0.05	-30	37	-30	12	1	y	ion-proton.png
IonTorrent S5/S5XL	IonTorrent S5/S5XL		400	8	0.05	20	0	80	0	0	k	ion-s5.png
Oxford Nanopore MinION Mk1	Oxford Nanopore	   MinION Mk1	5000	20	0.05	5	5	5	-15	0	r	Oxford_Nanopore_MinION_Mk1.png
PacBio RS	PacBio	    RS	5000	0.6	0.1	0	5	0	-20	0	b	PacBio-System.PacBio-RS-II-machine-300x236.png
PacBio Sequel	PacBio	Sequel	18000	96	0.1	-21	18	-21	-12	0	g	PacBio-Sequel.png
SOLiD	SOLiD		25	1	0.1	0	70	0	50	0	r	solid.png
